"item","count","suit_size","welliesize","id","year","length","brand","color","condition","diameter..mm.","stripes","comments"
"backup_light",1,,,"1",,,,,,,,"on helmet 6"
"backup_light",1,,,"2",,,,,,,,"on helmet 4"
"belts",17,,,,,,,,,,,
"brown_sacks",3,,,,,,,,,,,
"carabineers_hms",3,,,,,,,,,,,
"carabineers_screwgates",84,,,,,,,,,,,"40 of which are put away in metal box). Total count excludes those in SRT kits"
"carabineers_splink",14,,,,,,,,,,,
"chest_tapes",,,,,,,,,,,,"Not counted, added to SRT kits"
"cowstails_safetycord_pairs",8,,,,,,,,,,,"with Stuart. For training only"
"elbowpads",2,,,,,,,,,,,"1 pair"
"foot_loops",2,,,,2012,,"Petzl","yellow",,,,"in the bag"
"foot_loops",4,,,,,,"Petzl","yellow",,,,
"foot_loops",2,,,,,,,"purple",,,,
"foot_loops",1,,,,,,,"blue",,,,
"harness",1,,,"1",2011,,"Petzl","red",,,,
"harness",1,,,"2",2011,,"Petzl","red",,,,
"harness",1,,,"3",2011,,"Petzl","red",,,,
"harness",1,,,"4",,,"Singing Rock","yellow",,,,"Doted"
"harness",1,,,"5",,,"Petzl","red",,,,"At least 3 yrs old (Matt)"
"harness",1,,,"6",,,"Petzl","red",,,,"At least 3 yrs old (Matt)"
"harness",1,,,"7",,,"Petzl","green",,,,
"harness",1,,,"8",,,"Petzl","green",,,,
"harness",1,,,"9",,,"Petzl","red",,,,"At least 3 yrs old (Matt)"
"harness",1,,,"10",,,"?","?",,,,"another one with Yves"
"helmet",1,,,"1",,,,"Red",,,,
"helmet",1,,,"2",,,,"Red",,,,
"helmet",1,,,"3",,,,"White",,,,
"helmet",1,,,"4",,,,"Red",,,,
"helmet",1,,,"5",,,,"White",,,,
"helmet",1,,,"6",,,,"Red",,,,
"helmet",1,,,"7",,,,"Red",,,,
"helmet",1,,,"?",,,,"?",,,,"with D Loeffler"
"kneepad_pairs",8,,,,,,,,,,,"6 pairs, not all are paired, one pair of adjustable, 6 elastic, 1 velcro. one with Yves, one with Emma"
"ladder",1,,,"1",,30,,,,,,
"ladder",1,,,"2",,30,,,,,,
"ladder",1,,,"3",,30,,,,,,
"ladder",1,,,"4",,30,,,,,,
"ladder",1,,,"5",,30,,,,,,
"ladder",1,,,"6",,20,,,,,,
"ladder",1,,,"7",,20,,,,,,
"ladder",1,,,"8",,20,,,,,,
"ladder",1,,,"9",,20,,,,,,
"ladder",1,,,"10",,25,,,,,,"black end, yellow & green stripe"
